matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,shots_off_target.home,shots_off_target.away,blocked_shots.home,blocked_shots.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,yellow_cards.home,yellow_cards.away,red_cards.home,red_cards.away
2XSN4GOa,,FINISHED,04.04.2021 17:30,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,3,1,7.2,6.5,Madley A. (Eng),Villa Park (Birmingham),42 789,,53%,47%,14,13,4,6,3,4,0%,0%,5,4,5,3,4,2,22,19,18,15,14,18,5,1,1,2,,
My0lLy9t,,FINISHED,04.04.2021 15:05,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,2,2,6.9,7.2,Pawson C. (Eng),St. James' Park (Newcastle),52 305,,41%,59%,22,11,6,5,7,3,0%,0%,7,4,9,2,1,3,17,14,20,8,13,14,3,4,3,2,,
2mHoKeOn,,FINISHED,04.04.2021 13:00,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,3,2,7.4,6.8,Marriner A. (Eng),St. Mary's Stadium (Southampton),32 384,,53%,47%,24,7,9,5,6,7,0%,0%,3,2,12,0,0,1,11,10,18,19,11,10,3,6,,,,
OtUJ5d9g,,FINISHED,03.04.2021 21:00,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,0,3,6.3,7.5,Attwell S. (Eng),Emirates Stadium (London),60 704,,36%,64%,3,16,2,7,1,2,0%,0%,0,6,1,3,0,3,13,10,19,20,10,10,4,2,1,1,,
6PPv1YNO,,FINISHED,03.04.2021 18:30,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,2,6.5,7.3,Taylor A. (Eng),King Power Stadium (Leicester),32 261,,43%,57%,5,11,2,4,1,1,0%,0%,2,6,1,1,3,1,13,16,15,18,13,12,2,2,2,3,,
hMLz2E8I,,FINISHED,03.04.2021 16:00,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Sheffield Utd,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,2,1,7.2,6.6,Scott G. (Eng),Elland Road (Leeds),37 792,,54%,46%,23,9,8,1,5,7,0%,0%,9,4,6,4,1,1,14,13,21,23,12,13,0,6,1,2,,
W6XR3zv6,,FINISHED,03.04.2021 13:30,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,West Brom,https://static.flashscore.com/res/image/data/zDuImRwS-ImMEe0UF.png,2,5,6.3,7.4,Coote D. (Eng),Stamford Bridge (London),40 341,,66%,34%,18,14,8,7,10,3,0%,0%,6,4,4,3,1,4,10,12,22,27,11,6,2,6,3,1,1,0
2eapRfIm,,FINISHED,21.03.2021 20:30,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,0,2,6.4,7.5,Dean M. (Eng),Villa Park (Birmingham),42 789,,50%,50%,8,9,1,3,5,8,0%,0%,2,3,5,3,1,1,14,18,,,18,13,1,1,3,2,,
tIvF6xfm,,FINISHED,21.03.2021 16:00,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,3,3,7,7,Moss J. (Eng),London Stadium (London),62 500,,37%,63%,15,16,5,7,3,5,0%,0%,7,4,3,5,1,0,7,19,,,18,8,4,2,3,1,,
lOFygJPm,,FINISHED,20.03.2021 21:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,3,0,7.4,6.5,Taylor A. (Eng),Amex Stadium (Brighton),31 876,,65%,35%,11,3,6,1,3,1,0%,0%,1,2,4,0,2,1,6,14,,,12,5,1,3,0,1,,
