matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,expected_goals_(xg).home,expected_goals_(xg).away,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,yellow_cards.home,yellow_cards.away,shots_off_target.home,shots_off_target.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,blocked_shots.home,blocked_shots.away,red_cards.home,red_cards.away
A1jaoqEO,,FINISHED,24.04.2024 21:00,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,2,0,7.5,6.6,Bramall T. (Eng),Selhurst Park (London),25 486,25 002,0.96,0.42,47%,53%,20,7,7,2,7,2,0%,0%,3,3,13,5,5,2,16,14,24,19,10,15,2,5,,,,
C6UsASjP,,FINISHED,24.04.2024 21:00,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,2,0,7.7,6.5,Madley A. (Eng),Goodison Park (Liverpool),39 572,38 222,0.93,1.91,23%,77%,16,23,6,7,4,13,0%,0%,0,3,10,16,4,1,14,8,15,19,6,13,7,4,,,,
MuKH3QTh,,FINISHED,24.04.2024 21:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Sheffield Utd,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,4,2,7.5,6.6,Salisbury M. (Eng),Old Trafford (Manchester),75 635,73 549,2.62,0.86,71%,29%,25,10,13,4,8,4,0%,0%,0,1,12,6,3,2,10,10,21,17,7,9,2,9,,,,
I7DQ14b5,,FINISHED,24.04.2024 20:45,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,0,1,6.8,7.3,Attwell S. (Eng),Molineux Stadium (Wolverhampton),31 750,25 541,0.53,1.99,63%,37%,15,21,4,6,8,12,0%,0%,4,1,11,15,2,1,18,12,25,15,10,17,5,4,,,0,1
QDlmloU5,,FINISHED,23.04.2024 21:00,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,5,0,7.9,6.1,Hooper S. (Eng),Emirates Stadium (London),60 704,60 238,3.41,1.66,44%,56%,27,7,10,1,4,2,0%,0%,2,2,17,6,3,0,11,15,12,6,12,11,1,5,,,,
hGjNfjnE,,FINISHED,21.04.2024 17:30,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,1,3,6.4,7.4,Pawson C. (Eng),Craven Cottage (London),29 589,24 401,0.69,1.12,39%,61%,12,14,5,7,1,4,0%,0%,3,0,7,7,1,3,14,6,18,18,5,11,4,4,,,,
Us5SY8Pf,,FINISHED,21.04.2024 16:00,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,3,1,7.3,6.4,Robinson T. (Eng),Villa Park (Birmingham),42 789,42 189,2.02,1.55,56%,44%,15,14,5,6,8,4,0%,0%,1,3,10,8,2,3,17,11,16,9,8,14,5,2,,,,
Q9byXnf7,,FINISHED,21.04.2024 16:00,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,5,2,7.6,6.1,Scott G. (Eng),Selhurst Park (London),25 486,25 145,2.66,1.32,61%,39%,18,4,7,1,4,0,0%,0%,3,2,11,3,0,5,14,9,22,25,9,9,0,2,,,,
40cuW69D,,FINISHED,21.04.2024 14:30,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,2,0,7.3,6.5,Taylor A. (Eng),Goodison Park (Liverpool),39 572,39 239,0.42,0.85,41%,59%,7,8,4,3,6,4,0%,0%,4,2,3,5,0,1,9,14,19,23,15,9,3,2,,,,
dh57ZuG5,,FINISHED,20.04.2024 20:30,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,0,2,6.6,7.4,Tierney P. (Eng),Molineux Stadium (Wolverhampton),31 750,31 621,0.13,1.27,46%,54%,5,24,3,9,1,2,0%,0%,3,2,2,15,1,2,10,15,8,23,14,9,7,3,,,,
